Comment,Designator,Footprint,LCSC Part #
0.012R,RS,1206,C601086
1K8,R2A R7A R21,0603,C4177
1n,C8,0603,C1588
1u,C25 C34,0603,C15849
2K2,R10 R14,0603,C4190
2n2,C18,0603,C1604
3K9,R12 R13,0603,C23018
6u8H,L1,SHOUHAN_CYH125,C2929498
8K2,R18,0603,C25981
10,R11,0805,C17415
10K,R1 R4 R6,0603,C25804
10p,C9 C19,0603,C1634
10u,C31,0805,C15850
10u,C32,0603,C19702
15uH,L2,SHOUHAN_CYH125,C2929500
22n,C7 C17,0603,C21122
22u,C3 C4 C13 C14 C20 C21 C22 C24 C27 C28 C29 C35 C36 C37 C38,1206,C12891
22uH,L3,SHOUHAN_CYA0630,C5189960
33,R5B,0603,C23140
33K,R3,0603,C4216
51K,R8 R9 R15 R19 R20 R22,0603,C23196
100,R2B,0603,C22775
100n,C5 C6 C15 C16 C23 C26 C30 C33 C39 C40 C41,0603,C14663
100u,C10 C11 C12,1206,C15008
330,R16 R17,0603,C23138
680,R5A,0603,C23228
820,R7B,0603,C23253
AOD4185,Q1,DPAK,C400894
BZT52C15S,D3,SOD323F,C19077448
GCT_USB4125-GF-A,CN1,GCT_USB4125-GF-A-0190_REVA2,C18357552
HT7533-1,U5,SOT89,C14289
HUSB238_002DD,U4,DFN10-3X3,C7471904
INA180A2IDBVR,U7,SOT23-5,C192764
MMBT3904,Q2,SOT23,C7420353
SK84C,D1 D2,SMC,C28646293
STM8S003F3P6,U6,TSSOP20,C52717
TPS54202DDC,U3,SOT23-6,C191884
TPS54531DDA,U1 U2,SO08-EP,C50605
